epoch,train_loss,val_loss,lr,timestamp
1,2774.071289,2876.604492,0.000100,1772515825.7598748
2,2684.059448,2876.604492,0.000100,1772515863.46649
3,2616.571655,2876.604492,0.000100,1772515898.6646304
4,2769.853149,2876.604492,0.000100,1772515934.0618317
5,2491.025574,2704.374634,0.000100,1772515969.202367
6,2450.413940,2547.488647,0.000100,1772516005.44701
7,2287.156860,2398.518921,0.000100,1772516038.1570587
8,2092.531189,2251.990967,0.000100,1772516070.1146212
9,2070.323364,2179.609619,0.000100,1772516102.4871428
10,1804.013550,2036.690918,0.000100,1772516134.212406
11,1843.477295,1897.495789,0.000100,1772516165.9873261
12,1592.758118,1761.872375,0.000100,1772516198.9022965
13,1684.544312,1632.011353,0.000100,1772516231.6830816
14,1538.576050,1508.238831,0.000100,1772516264.5404458
15,1222.751251,1391.156555,0.000100,1772516297.1284301
16,1156.754395,1283.039276,0.000100,1772516330.032957
17,1060.638367,1183.398682,0.000100,1772516361.8297796
18,1002.229218,1092.033661,0.000100,1772516394.033185
19,847.810394,1008.914917,0.000100,1772516427.34281
20,856.493561,935.205750,0.000100,1772516461.0112262
21,780.283875,869.789551,0.000100,1772516493.7115164
22,750.664551,812.658295,0.000100,1772516526.5004241
23,637.711609,763.278595,0.000100,1772516559.318149
24,569.211853,722.053787,0.000100,1772516591.3292012
25,568.014633,687.924805,0.000100,1772516623.9036746
26,569.918274,659.891373,0.000100,1772516656.5405643
27,501.089066,637.463516,0.000100,1772516689.298424
28,470.592514,620.439545,0.000100,1772516721.3703437
29,452.597610,607.387817,0.000100,1772516754.3304434
30,482.739761,597.649582,0.000100,1772516786.8926125
31,417.952759,590.833374,0.000100,1772516818.7881408
32,453.123840,585.765533,0.000100,1772516850.6930397
33,405.234573,582.183182,0.000100,1772516883.0164924
34,463.843140,579.367050,0.000100,1772516915.84068
35,421.210434,577.021851,0.000100,1772516947.8882418
36,449.503647,574.986465,0.000100,1772516980.903746
37,433.129868,573.145477,0.000100,1772517013.729078
38,432.802216,571.550156,0.000100,1772517046.5681517
39,412.119263,570.206451,0.000100,1772517078.5499215
40,415.413116,569.002838,0.000100,1772517111.3179684
41,418.573364,567.926620,0.000100,1772517143.9320936
42,402.779938,566.973633,0.000100,1772517176.6674864
43,431.362488,566.225693,0.000100,1772517209.2905366
44,437.139099,565.603882,0.000100,1772517241.2767205
45,405.444748,565.089493,0.000100,1772517273.065498
46,452.557236,564.747406,0.000100,1772517305.0959277
47,380.920715,564.146820,0.000100,1772517337.513855
48,413.335663,563.748322,0.000100,1772517370.534459
49,405.707779,563.440704,0.000100,1772517403.6609578
50,362.450928,563.366364,0.000100,1772517435.753176
51,388.606628,563.494247,0.000100,1772517468.7537758
52,432.782104,563.490326,0.000100,1772517497.9444435
53,388.210297,563.543808,0.000100,1772517527.1275795
54,382.913834,563.346039,0.000100,1772517556.3296442
55,330.689125,563.067688,0.000100,1772517589.0306034
56,356.305664,562.464996,0.000100,1772517621.2873247
57,380.055405,562.416946,0.000100,1772517653.5592906
58,381.357254,561.932343,0.000100,1772517686.501701
59,389.702118,561.292206,0.000100,1772517719.2874627
60,338.564232,560.318878,0.000100,1772517752.2133863
61,328.234917,559.369324,0.000100,1772517784.51205
62,372.217087,558.733246,0.000100,1772517816.5006046
63,322.601227,557.843582,0.000100,1772517849.2938137
64,345.377289,556.682953,0.000100,1772517882.088053
65,345.073471,555.414734,0.000100,1772517914.2949252
66,315.041412,554.245209,0.000100,1772517946.1142466
67,312.953568,553.521088,0.000100,1772517978.8986893
68,355.053635,552.861725,0.000100,1772518011.4942353
69,348.598145,552.587463,0.000100,1772518043.2921386
70,362.376953,552.527847,0.000100,1772518075.2865033
71,315.456833,552.510101,0.000100,1772518107.8542438
72,320.580826,552.596878,0.000100,1772518139.928686
73,344.476532,552.463013,0.000100,1772518169.2868338
74,335.375641,551.891815,0.000100,1772518202.0850015
75,304.863098,551.172211,0.000100,1772518234.3263621
76,303.268158,550.174316,0.000100,1772518267.2567272
77,347.027130,549.371155,0.000100,1772518300.1069446
78,292.165512,548.409027,0.000100,1772518332.8611567
79,329.355576,547.256180,0.000100,1772518364.689343
80,313.063660,546.243286,0.000100,1772518396.8512027
81,291.608635,545.390594,0.000100,1772518428.6636994
82,319.013786,544.879074,0.000100,1772518461.4958575
83,269.519089,544.467346,0.000100,1772518494.186522
84,300.826813,544.458710,0.000100,1772518526.357041
85,313.194656,544.300507,0.000100,1772518559.3269835
86,302.353577,544.081863,0.000100,1772518592.2836246
87,295.450073,543.739441,0.000100,1772518624.2350516
88,285.527939,543.590485,0.000100,1772518657.4939125
89,291.857117,543.649094,0.000100,1772518690.3438694
90,283.017273,543.763885,0.000100,1772518719.4965577
91,292.518906,543.633148,0.000100,1772518748.7240276
92,276.787552,543.506378,0.000100,1772518777.862539
93,260.391258,543.457703,0.000100,1772518809.758895
94,283.219025,543.306213,0.000100,1772518841.9846144
95,274.868286,543.425446,0.000100,1772518874.3016946
96,267.900337,543.460205,0.000100,1772518903.5268106
97,292.424042,543.618011,0.000100,1772518932.8926034
98,296.014572,543.543793,0.000100,1772518962.1056495
99,265.063042,542.737122,0.000100,1772518991.1679616
100,242.859688,541.760620,0.000100,1772519023.2839186
