epoch,train_loss,val_loss,lr,timestamp
1,779.333200,751.740906,0.00010000,1780512768.0966558
2,778.825278,750.863220,0.00010000,1780512773.6860662
3,778.354315,749.371323,0.00010000,1780512779.2619574
4,777.770114,748.233704,0.00010000,1780512784.8496494
5,777.080695,746.959427,0.00010000,1780512790.4799483
6,777.050470,745.260330,0.00010000,1780512795.9500813
7,775.029755,741.456589,0.00010000,1780512801.3530424
8,774.315723,740.050125,0.00010000,1780512806.7564037
9,773.547699,735.279968,0.00010000,1780512812.2352104
10,771.710693,734.628433,0.00010000,1780512817.710529
11,768.849158,733.530441,0.00010000,1780512823.150642
12,765.498901,715.383163,0.00010000,1780512828.6476758
13,761.528452,730.033676,0.00010000,1780512834.0554852
14,760.671112,715.248703,0.00010000,1780512839.4310365
15,749.588864,680.061310,0.00010000,1780512844.877508
16,749.656879,661.509628,0.00010000,1780512850.2811139
17,739.991245,702.603287,0.00010000,1780512855.7347019
18,739.513647,706.425079,0.00010000,1780512861.3625069
19,734.655484,702.820770,0.00010000,1780512866.8806584
20,727.090588,626.089325,0.00010000,1780512872.415638
21,713.405481,608.817230,0.00010000,1780512877.8493652
22,715.439847,655.112549,0.00010000,1780512883.2663832
23,699.781177,663.426270,0.00010000,1780512888.6613317
24,695.901245,596.987534,0.00010000,1780512894.0995865
25,688.314691,587.997009,0.00010000,1780512899.5552537
26,682.614612,561.844589,0.00010000,1780512905.0210764
27,664.453009,622.341217,0.00010000,1780512910.4554589
28,693.435779,612.344559,0.00010000,1780512915.8269503
29,647.378027,545.725616,0.00010000,1780512921.2421832
30,641.397678,537.666885,0.00010000,1780512926.670073
31,637.289728,516.682892,0.00010000,1780512932.122956
32,604.836142,550.251801,0.00010000,1780512937.5228953
33,597.040936,562.899231,0.00010000,1780512942.9310277
34,585.970558,471.801010,0.00010000,1780512948.3101933
35,589.255704,464.787308,0.00010000,1780512953.7575684
36,574.579944,541.649887,0.00010000,1780512959.2092876
37,587.854642,454.395538,0.00010000,1780512964.6117072
38,590.100052,436.047897,0.00010000,1780512970.0641742
39,573.964975,467.794403,0.00010000,1780512975.527991
40,567.584914,473.197266,0.00010000,1780512980.9095268
41,534.186836,454.736237,0.00010000,1780512986.3129842
42,537.968840,421.599304,0.00010000,1780512991.7130084
43,523.493756,368.719368,0.00010000,1780512997.124901
44,498.454123,466.463020,0.00010000,1780513002.537669
45,517.043984,438.988129,0.00010000,1780513007.8919091
46,454.238156,415.576172,0.00010000,1780513013.2613807
47,430.163126,485.303741,0.00010000,1780513018.6215365
48,410.386867,338.180504,0.00010000,1780513024.0023003
49,381.327902,355.621376,0.00010000,1780513029.4524555
50,386.758375,314.267700,0.00010000,1780513034.8139844
51,364.578900,346.724770,0.00010000,1780513040.2346907
52,345.779037,387.565964,0.00010000,1780513045.6035972
53,341.985313,272.447975,0.00010000,1780513051.004052
54,380.715834,445.482605,0.00010000,1780513056.4671001
55,322.219171,396.309082,0.00010000,1780513061.883823
56,281.274824,320.106537,0.00010000,1780513067.2956278
57,285.277166,364.077927,0.00010000,1780513072.683948
58,269.700782,302.135559,0.00010000,1780513078.085169
59,238.990054,343.035599,0.00010000,1780513083.50048
60,254.943030,334.528381,0.00010000,1780513088.9246912
61,275.892535,325.841599,0.00010000,1780513094.320088
62,268.819816,322.545227,0.00010000,1780513099.7333138
63,315.803201,361.364548,0.00010000,1780513105.136711
64,296.508728,353.351959,0.00010000,1780513110.5170047
65,243.451022,443.177475,0.00010000,1780513115.9096277
66,185.863808,371.287872,0.00010000,1780513121.2731595
67,208.892440,359.425461,0.00010000,1780513126.6568563
68,193.781461,316.413773,0.00010000,1780513132.020206
69,184.074139,291.051132,0.00010000,1780513137.3970165
70,178.538467,302.194260,0.00010000,1780513142.7611613
71,179.170012,333.123383,0.00010000,1780513148.135645
72,182.159958,327.519669,0.00010000,1780513153.50834
73,145.772233,322.838791,0.00010000,1780513158.8855796
74,177.267157,333.326385,0.00010000,1780513164.285971
75,139.813620,288.436798,0.00010000,1780513169.663317
76,127.027189,302.694946,0.00010000,1780513175.0436103
77,119.529815,282.479874,0.00010000,1780513180.4490783
78,154.859859,298.917313,0.00010000,1780513185.8308282
79,163.275965,372.081680,0.00010000,1780513191.216887
80,158.561017,273.276855,0.00010000,1780513196.5873547
81,162.629580,284.674225,0.00010000,1780513202.023933
82,123.319057,299.914719,0.00010000,1780513207.4180446
83,105.571657,402.761169,0.00010000,1780513212.8082302
84,156.639549,312.659073,0.00010000,1780513218.209861
85,114.766371,324.490372,0.00010000,1780513223.5726793
86,108.377436,312.496490,0.00010000,1780513228.9490292
87,147.281481,421.874573,0.00010000,1780513234.3083115
88,127.928914,370.981644,0.00010000,1780513239.6762042
89,133.681608,328.945816,0.00010000,1780513245.0598667
90,169.106792,300.288925,0.00010000,1780513250.42418
91,134.710545,385.304230,0.00010000,1780513255.8060303
92,152.330601,318.837128,0.00010000,1780513261.1612024
93,234.751644,320.189850,0.00010000,1780513266.530766
94,109.491146,476.832977,0.00010000,1780513271.8897722
95,214.982850,512.970856,0.00010000,1780513277.2636828
96,155.655118,344.421005,0.00010000,1780513282.6382017
97,173.007300,311.383415,0.00010000,1780513288.0085402
98,105.402049,381.850250,0.00010000,1780513293.3882823
99,119.098967,328.178558,0.00010000,1780513298.7578766
100,155.136478,291.285690,0.00010000,1780513304.1269684
